director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,comb
David Lynch,Fantasy Horror Sci-Fi,Hal Landon Jr.,Jack Nance,Charlotte Stewart,eraserhead,Hal Landon Jr. Jack Nance Charlotte Stewart David Lynch Fantasy Horror Sci-Fi
Harry F. Millarde,Crime Drama,Stephen Carr,Johnnie Walker,Mary Carr,over the hill to the poorhouse,Stephen Carr Johnnie Walker Mary Carr Harry F. Millarde Crime Drama
Robert Townsend,Comedy,Robert Townsend,Keenen Ivory Wayans,Helen Martin,hollywood shuffle,Robert Townsend Keenen Ivory Wayans Helen Martin Robert Townsend Comedy
Peter Chelsom,Comedy Drama,Kieran Culkin,Elden Henson,Gena Rowlands,the mighty,Kieran Culkin Elden Henson Gena Rowlands Peter Chelsom Comedy Drama
Jamaa Fanaka,Crime Drama Sport,Leon Isaac Kennedy,Chuck Mitchell,Wilbur 'Hi-Fi' White,penitentiary,Leon Isaac Kennedy Chuck Mitchell Wilbur 'Hi-Fi' White Jamaa Fanaka Crime Drama Sport
Larry Blamire,Comedy Horror Sci-Fi,Fay Masterson,Brian Howe,Larry Blamire,the lost skeleton of cadavra,Fay Masterson Brian Howe Larry Blamire Larry Blamire Comedy Horror Sci-Fi
Stephen Langford,Family,Kevin P. Farley,Gabriela Castillo,Brandon Middleton,"dude, where's my dog?!",Kevin P. Farley Gabriela Castillo Brandon Middleton Stephen Langford Family
E.L. Katz,Comedy Crime Drama Horror Thriller,Brighton Sharbino,Ethan Embry,Elissa Dowling,cheap thrills,Brighton Sharbino Ethan Embry Elissa Dowling E.L. Katz Comedy Crime Drama Horror Thriller
Lisanne Pajot,Documentary,Jonathan Blow,Edmund McMillen,Phil Fish,indie game: the movie,Jonathan Blow Edmund McMillen Phil Fish Lisanne Pajot Documentary
Dan Reed,Thriller,Danny Dyer,Adam Rayner,Ralph Brown,closure,Danny Dyer Adam Rayner Ralph Brown Dan Reed Thriller
John Reinhardt,Crime Drama,Sheldon Leonard,John Ireland,Arthur O'Connell,open secret,Sheldon Leonard John Ireland Arthur O'Connell John Reinhardt Crime Drama
Patrick Ryan Sims,Action Drama Sci-Fi Thriller,Claire Gordon-Harper,Hugh Mun,Johnathan Hurley,echo dr.,Claire Gordon-Harper Hugh Mun Johnathan Hurley Patrick Ryan Sims Action Drama Sci-Fi Thriller
Laslo Benedek,Crime Horror Thriller,Liv Ullmann,Trevor Howard,Andrew Keir,the night visitor,Liv Ullmann Trevor Howard Andrew Keir Laslo Benedek Crime Horror Thriller
Jason Miller,Biography Documentary Music,Jon Brion,Dottie Alexander,David Barnes,the past is a grotesque animal,Jon Brion Dottie Alexander David Barnes Jason Miller Biography Documentary Music
Dennis Iliadis,Crime Horror Thriller,Tony Goldwyn,Monica Potter,Martha MacIsaac,the last house on the left,Tony Goldwyn Monica Potter Martha MacIsaac Dennis Iliadis Crime Horror Thriller
Sut Jhally,Documentary,Noam Chomsky,Seth Ackerman,Arik Ascherman,"peace, propaganda & the promised land",Noam Chomsky Seth Ackerman Arik Ascherman Sut Jhally Documentary
Darren Aronofsky,Drama Mystery Thriller,Mark Margolis,Clint Mansell,Stanley B. Herman,pi,Mark Margolis Clint Mansell Stanley B. Herman Darren Aronofsky Drama Mystery Thriller
Julie Davis,Comedy Romance,Jack McGee,Meredith Scott Lynn,Tim DeZarn,"i love you, don't touch me!",Jack McGee Meredith Scott Lynn Tim DeZarn Julie Davis Comedy Romance
Myles Berkowitz,Biography Comedy Romance,Tia Carrere,Tom Ardavany,Robert McKee,20 dates,Tia Carrere Tom Ardavany Robert McKee Myles Berkowitz Biography Comedy Romance
Brett Piper,Action Sci-Fi Thriller,Michelle Simone Miller,Steve Diasparra,A.J. DeLucia,queen crab,Michelle Simone Miller Steve Diasparra A.J. DeLucia Brett Piper Action Sci-Fi Thriller
Morgan Spurlock,Comedy Documentary Drama,Chemeeka Walker,Amanda Kearsan,Amelia Giancarlo,super size me,Chemeeka Walker Amanda Kearsan Amelia Giancarlo Morgan Spurlock Comedy Documentary Drama
Brandon Trost,Comedy,Clifton Collins Jr.,Sean Whalen,James DeBello,the fp,Clifton Collins Jr. Sean Whalen James DeBello Brandon Trost Comedy
Joe Swanberg,Comedy Drama,Anna Kendrick,Lena Dunham,Mark Webber,happy christmas,Anna Kendrick Lena Dunham Mark Webber Joe Swanberg Comedy Drama
Joseph Green,Horror Sci-Fi,Virginia Leith,Jason Evers,Bruce Kerr,the brain that wouldn't die,Virginia Leith Jason Evers Bruce Kerr Joseph Green Horror Sci-Fi
Wade Gasque,Drama,Ty Parker,Vincent Duvall,Loanne Bishop,tiger orange,Ty Parker Vincent Duvall Loanne Bishop Wade Gasque Drama
Daniel Schechter,Comedy,Lena Dunham,Kevin Corrigan,Alex Karpovsky,supporting characters,Lena Dunham Kevin Corrigan Alex Karpovsky Daniel Schechter Comedy
Mike Flanagan,Drama Horror Mystery,Justin Gordon,Courtney Bell,Erin Cipolletti,absentia,Justin Gordon Courtney Bell Erin Cipolletti Mike Flanagan Drama Horror Mystery
Edward Burns,Comedy Drama Romance,Shari Albert,Michael McGlone,Maxine Bahns,the brothers mcmullen,Shari Albert Michael McGlone Maxine Bahns Edward Burns Comedy Drama Romance
Matt Johnson,Crime Drama Thriller,Paul Daniel Ayotte,Shailene Garnett,Matt Johnson,the dirties,Paul Daniel Ayotte Shailene Garnett Matt Johnson Matt Johnson Crime Drama Thriller
Bruno Barreto,Comedy Drama Romance,Marcello Mastroianni,Sonia Braga,Joffre Soares,gabriela,Marcello Mastroianni Sonia Braga Joffre Soares Bruno Barreto Comedy Drama Romance
Lena Dunham,Comedy Drama Romance,Lena Dunham,Merritt Wever,Jemima Kirke,tiny furniture,Lena Dunham Merritt Wever Jemima Kirke Lena Dunham Comedy Drama Romance
Terron R. Parsons,Crime Drama Horror,Richard Tyson,Jeremy Sande,Corlandos Scott,hayride,Richard Tyson Jeremy Sande Corlandos Scott Terron R. Parsons Crime Drama Horror
Daniel Mellitz,Comedy Drama,Corbin Bernsen,Chelse Swain,Amanda MacDonald,the naked ape,Corbin Bernsen Chelse Swain Amanda MacDonald Daniel Mellitz Comedy Drama
Jem Cohen,Documentary,Not Available,Not Available,Not Available,counting,Not Available Not Available Not Available Jem Cohen Documentary
Andrew Leman,Fantasy Horror Mystery Thriller,Dan Novy,David Mersault,Barry Lynch,the call of cthulhu,Dan Novy David Mersault Barry Lynch Andrew Leman Fantasy Horror Mystery Thriller
Dave Carroll,Documentary,Chris 'Wonder' Schoeck,Not Available,Not Available,bending steel,Chris 'Wonder' Schoeck Not Available Not Available Dave Carroll Documentary
William Eubank,Sci-Fi Thriller,Lin Shaye,Olivia Cooke,Beau Knapp,the signal,Lin Shaye Olivia Cooke Beau Knapp William Eubank Sci-Fi Thriller
Patrick Meaney,Biography Documentary,Taliesin Jaffe,Greg Aronowitz,Jeff Dowd,the image revolution,Taliesin Jaffe Greg Aronowitz Jeff Dowd Patrick Meaney Biography Documentary
Chad Hartigan,Drama,Jan Haley,Paul Eenhoorn,Demetrius Grosse,this is martin bonner,Jan Haley Paul Eenhoorn Demetrius Grosse Chad Hartigan Drama
Malcolm Goodwin,Comedy,Katrina Bowden,Jon Gries,Kelen Coleman,a true story,Katrina Bowden Jon Gries Kelen Coleman Malcolm Goodwin Comedy
David Gordon Green,Drama,Paul Schneider,Eddie Rouse,Damian Jewan Lee,george washington,Paul Schneider Eddie Rouse Damian Jewan Lee David Gordon Green Drama
Kevin Jordan,Comedy Romance,Derick Martini,Christa Miller,Ion Overman,smiling fish & goat on fire,Derick Martini Christa Miller Ion Overman Kevin Jordan Comedy Romance
Kirk Loudon,Drama Sci-Fi Thriller,Barry Corbin,Johnny Walter,Shiree Nelson,dawn of the crescent moon,Barry Corbin Johnny Walter Shiree Nelson Kirk Loudon Drama Sci-Fi Thriller
Travis Legge,Horror,Elissa Dowling,Patricia Raven,Lindsay Felton,raymond did it,Elissa Dowling Patricia Raven Lindsay Felton Travis Legge Horror
Martin Scorsese,Documentary Music,Ringo Starr,Levon Helm,Bob Dylan,the last waltz,Ringo Starr Levon Helm Bob Dylan Martin Scorsese Documentary Music
Collin Joseph Neal,Horror Thriller,Julianne Gabert,Thomas Brophy,Ronee Collins,"run, hide, die",Julianne Gabert Thomas Brophy Ronee Collins Collin Joseph Neal Horror Thriller
Bradley Rust Gray,Drama,Zoe Kazan,Mark Rendall,Jordan Scovel,the exploding girl,Zoe Kazan Mark Rendall Jordan Scovel Bradley Rust Gray Drama
Mike Bruce,Western,Joseph Campanella,Kirpatrick Thomas,Christian Anderson,the legend of god's gun,Joseph Campanella Kirpatrick Thomas Christian Anderson Mike Bruce Western
Andrew Bujalski,Comedy,Andrew Bujalski,Kate Dollenmayer,Justin Rice,mutual appreciation,Andrew Bujalski Kate Dollenmayer Justin Rice Andrew Bujalski Comedy
Damir Catic,Horror,Nichole Ceballos,Ron Gelner,Parker Riggs,her cry: la llorona investigation,Nichole Ceballos Ron Gelner Parker Riggs Damir Catic Horror
Ben Wheatley,Comedy Crime Drama,Michael Smiley,Tony Way,David Schaal,down terrace,Michael Smiley Tony Way David Schaal Ben Wheatley Comedy Crime Drama
Kevin Smith,Comedy,Jason Mewes,Brian O'Halloran,Jeff Anderson,clerks,Jason Mewes Brian O'Halloran Jeff Anderson Kevin Smith Comedy
James Bidgood,Drama Fantasy,Don Brooks,Bobby Kendall,Not Available,pink narcissus,Don Brooks Bobby Kendall Not Available James Bidgood Drama Fantasy
Andrew Bujalski,Comedy Drama,Andrew Bujalski,Kate Dollenmayer,Justin Rice,funny ha ha,Andrew Bujalski Kate Dollenmayer Justin Rice Andrew Bujalski Comedy Drama
Neil LaBute,Comedy Drama,Stacy Edwards,Matt Malloy,Jason Dixie,in the company of men,Stacy Edwards Matt Malloy Jason Dixie Neil LaBute Comedy Drama
David Ayer,Action Crime Drama Thriller,Mireille Enos,Martin Donovan,Maurice Compte,sabotage,Mireille Enos Martin Donovan Maurice Compte David Ayer Action Crime Drama Thriller
Eric Eason,Drama Family,Franky G,Panchito Gómez,Casper Martinez,manito,Franky G Panchito Gómez Casper Martinez Eric Eason Drama Family
Uwe Boll,Action Crime Thriller,Matt Frewer,Katharine Isabelle,Michael Paré,rampage,Matt Frewer Katharine Isabelle Michael Paré Uwe Boll Action Crime Thriller
Richard Linklater,Comedy Drama,Tommy Pallotta,Richard Linklater,Jean Caffeine,slacker,Tommy Pallotta Richard Linklater Jean Caffeine Richard Linklater Comedy Drama
Joseph Mazzella,Crime Drama Thriller,Tjasa Ferme,Mikaal Bates,Damon Owlia,dutch kills,Tjasa Ferme Mikaal Bates Damon Owlia Joseph Mazzella Crime Drama Thriller
Travis Legge,Comedy Romance,Kristen Seavey,Suzi Lorraine,Travis Legge,dry spell,Kristen Seavey Suzi Lorraine Travis Legge Travis Legge Comedy Romance
Alex Kendrick,Drama,Shannen Fields,Lisa Arnold,Janet Lee Dapper,flywheel,Shannen Fields Lisa Arnold Janet Lee Dapper Alex Kendrick Drama
Marcus Nispel,Horror Mystery Thriller,Ashley Tramonte,Brittany Curran,Lindsay MacDonald,exeter,Ashley Tramonte Brittany Curran Lindsay MacDonald Marcus Nispel Horror Mystery Thriller
Brandon Landers,Drama Horror Thriller,Robbie Barnes,Alana Kaniewski,Brandon Landers,the ridges,Robbie Barnes Alana Kaniewski Brandon Landers Brandon Landers Drama Horror Thriller
Jay Duplass,Comedy Drama Romance,Mark Duplass,Katie Aselton,Bari Hyman,the puffy chair,Mark Duplass Katie Aselton Bari Hyman Jay Duplass Comedy Drama Romance
Jim Chuchu,Drama,Paul Ogola,Olwenya Maina,Mugambi Nthiga,stories of our lives,Paul Ogola Olwenya Maina Mugambi Nthiga Jim Chuchu Drama
Daryl Wein,Romance,Zoe Lister-Jones,Heather Burns,Ebon Moss-Bachrach,breaking upwards,Zoe Lister-Jones Heather Burns Ebon Moss-Bachrach Daryl Wein Romance
Jason Trost,Sci-Fi Thriller,Sean Whalen,Jason Trost,Nick Principe,all superheroes must die,Sean Whalen Jason Trost Nick Principe Jason Trost Sci-Fi Thriller
John Waters,Comedy Crime Horror,Divine,Mink Stole,Edith Massey,pink flamingos,Divine Mink Stole Edith Massey John Waters Comedy Crime Horror
Olivier Assayas,Drama Music Romance,Maggie Cheung,Béatrice Dalle,Don McKellar,clean,Maggie Cheung Béatrice Dalle Don McKellar Olivier Assayas Drama Music Romance
Jafar Panahi,Drama,Fereshteh Sadre Orafaiy,Nargess Mamizadeh,Mojgan Faramarzi,the circle,Fereshteh Sadre Orafaiy Nargess Mamizadeh Mojgan Faramarzi Jafar Panahi Drama
Ivan Kavanagh,Horror,Patrick O'Donnell,Michael Parle,Emma Eliza Regan,tin can man,Patrick O'Donnell Michael Parle Emma Eliza Regan Ivan Kavanagh Horror
Kiyoshi Kurosawa,Crime Horror Mystery Thriller,Kôji Yakusho,Anna Nakagawa,Denden,the cure,Kôji Yakusho Anna Nakagawa Denden Kiyoshi Kurosawa Crime Horror Mystery Thriller
Tadeo Garcia,Drama,Tatiana Suarez-Pico,Michael Cortez,Eric Ambriz,on the downlow,Tatiana Suarez-Pico Michael Cortez Eric Ambriz Tadeo Garcia Drama
Thomas L. Phillips,Comedy Horror Thriller,Julianna Pitt,Joe Coffey,John Lucas,sanctuary; quite a conundrum,Julianna Pitt Joe Coffey John Lucas Thomas L. Phillips Comedy Horror Thriller
Ash Baron-Cohen,Crime Drama,Peter Greene,Stanley B. Herman,James Noble,bang,Peter Greene Stanley B. Herman James Noble Ash Baron-Cohen Crime Drama
Shane Carruth,Drama Sci-Fi Thriller,Shane Carruth,David Sullivan,Casey Gooden,primer,Shane Carruth David Sullivan Casey Gooden Shane Carruth Drama Sci-Fi Thriller
Neill Dela Llana,Thriller,Ian Gamazon,Edgar Tancangco,Quynn Ton,cavite,Ian Gamazon Edgar Tancangco Quynn Ton Neill Dela Llana Thriller
Robert Rodriguez,Action Crime Drama Romance Thriller,Carlos Gallardo,Peter Marquardt,Consuelo Gómez,el mariachi,Carlos Gallardo Peter Marquardt Consuelo Gómez Robert Rodriguez Action Crime Drama Romance Thriller
Anthony Vallone,Crime Drama,Richard Jewell,John Considine,Sara Stepnicka,the mongol king,Richard Jewell John Considine Sara Stepnicka Anthony Vallone Crime Drama
Edward Burns,Comedy Drama,Kerry Bishé,Caitlin FitzGerald,Daniella Pineda,newlyweds,Kerry Bishé Caitlin FitzGerald Daniella Pineda Edward Burns Comedy Drama
Scott Smith,Comedy Drama,Eric Mabius,Daphne Zuniga,Crystal Lowe,signed sealed delivered,Eric Mabius Daphne Zuniga Crystal Lowe Scott Smith Comedy Drama
Not Available,Crime Drama Mystery Thriller,Natalie Zea,Valorie Curry,Sam Underwood,the following,Natalie Zea Valorie Curry Sam Underwood Not Available Crime Drama Mystery Thriller
Benjamin Roberds,Drama Horror Thriller,Eva Boehnke,Maxwell Moody,David Chandler,a plague so pleasant,Eva Boehnke Maxwell Moody David Chandler Benjamin Roberds Drama Horror Thriller
Daniel Hsia,Comedy Drama Romance,Alan Ruck,Daniel Henney,Eliza Coupe,shanghai calling,Alan Ruck Daniel Henney Eliza Coupe Daniel Hsia Comedy Drama Romance
Jon Gunn,Documentary,John August,Brian Herzlinger,Jon Gunn,my date with drew,John August Brian Herzlinger Jon Gunn Jon Gunn Documentary
Joachim Rønning,Adventure Action Fantasy Comedy,Johnny Depp,Javier Bardem,Geoffrey Rush,pirates of the caribbean: dead men tell no tales,Johnny Depp Javier Bardem Geoffrey Rush Joachim Rønning Adventure Action Fantasy Comedy
Zack Snyder,Action Adventure Fantasy Science Fiction,Ben Affleck,Henry Cavill,Gal Gadot,justice league,Ben Affleck Henry Cavill Gal Gadot Zack Snyder Action Adventure Fantasy Science Fiction
Taika Waititi,Action Adventure Fantasy Science Fiction,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,thor: ragnarok,Chris Hemsworth Tom Hiddleston Cate Blanchett Taika Waititi Action Adventure Fantasy Science Fiction
James Gunn,Action Adventure Comedy Science Fiction,Chris Pratt,Zoe Saldana,Dave Bautista,guardians of the galaxy vol. 2,Chris Pratt Zoe Saldana Dave Bautista James Gunn Action Adventure Comedy Science Fiction
Sean McNamara,Fantasy Action Adventure,Pierce Brosnan,William Hurt,Benjamin Walker,the king's daughter,Pierce Brosnan William Hurt Benjamin Walker Sean McNamara Fantasy Action Adventure
Adam Spinks,Thriller Adventure,Ben Loyd-Holmes,Sarah Mac,Neil Newbon,extinction: nature has evolved,Ben Loyd-Holmes Sarah Mac Neil Newbon Adam Spinks Thriller Adventure
Rucha Humnabadkar,Drama Comedy,Ali Fazal,Melanie Chandra,Omi Vaidya,for here or to go?,Ali Fazal Melanie Chandra Omi Vaidya Rucha Humnabadkar Drama Comedy
Sarik Andreasyan,Action Fantasy Science Fiction,Anton Pampushnyy,Sanzhar Madiyev,Sebastien Sisak,guardians,Anton Pampushnyy Sanzhar Madiyev Sebastien Sisak Sarik Andreasyan Action Fantasy Science Fiction
Peter Hutchings,Comedy,Victoria Justice,Eden Sher,Ashley Rickards,the outcasts,Victoria Justice Eden Sher Ashley Rickards Peter Hutchings Comedy
Patty Jenkins,Action Adventure Fantasy,Gal Gadot,Chris Pine,Robin Wright,wonder woman,Gal Gadot Chris Pine Robin Wright Patty Jenkins Action Adventure Fantasy
Kevin Munroe,Animation Adventure Comedy Action Family,Chris Murphy,Ian James Corlett,Matt Olsen,sly cooper,Chris Murphy Ian James Corlett Matt Olsen Kevin Munroe Animation Adventure Comedy Action Family
James Ponsoldt,Drama Thriller Science Fiction,Emma Watson,Tom Hanks,John Boyega,the circle,Emma Watson Tom Hanks John Boyega James Ponsoldt Drama Thriller Science Fiction
Trish Sie,Comedy,Anna Kendrick,Rebel Wilson,Brittany Snow,pitch perfect 3,Anna Kendrick Rebel Wilson Brittany Snow Trish Sie Comedy
Not Available,Not Available,Donnie Yen,Not Available,Not Available,the master,Donnie Yen Not Available Not Available Not Available Not Available
Sean Byrne,Horror,Ethan Embry,Shiri Appleby,Kiara Glasco,the devil's candy,Ethan Embry Shiri Appleby Kiara Glasco Sean Byrne Horror
Roberto Doveris,Drama,Violeta Castillo,Ingrid Isensee,Mauricio Vaca,las plantas,Violeta Castillo Ingrid Isensee Mauricio Vaca Roberto Doveris Drama
Lloyd Kaufman,Comedy Horror,Asta Paredes,Catherine Corcoran,Zac Amino,"return to return to nuke 'em high, aka volume 2",Asta Paredes Catherine Corcoran Zac Amino Lloyd Kaufman Comedy Horror
David Jackson,TV Movie Thriller,Amanda Leighton,Samantha Boscarino,Hannah Kasulka,the cheerleader murders,Amanda Leighton Samantha Boscarino Hannah Kasulka David Jackson TV Movie Thriller
Demetri Martin,Comedy,Demetri Martin,Gillian Jacobs,Christine Woods,dean,Demetri Martin Gillian Jacobs Christine Woods Demetri Martin Comedy
Alexandre Bustillo,Horror,Stephen Dorff,Lili Taylor,Sam Strike,leatherface,Stephen Dorff Lili Taylor Sam Strike Alexandre Bustillo Horror
Johannes Roberts,Drama Thriller Horror Adventure,Claire Holt,Mandy Moore,Chris Johnson,47 meters down,Claire Holt Mandy Moore Chris Johnson Johannes Roberts Drama Thriller Horror Adventure
Gabe Klinger,Romance Drama,Lucie Lucas,Anton Yelchin,Paulo Calatré,porto,Lucie Lucas Anton Yelchin Paulo Calatré Gabe Klinger Romance Drama
Aaron Leong,Comedy Drama Family Fantasy Romance Science Fiction,Sean O'Donnell,Alexandria DeBerry,Gary Busey,mamaboy,Sean O'Donnell Alexandria DeBerry Gary Busey Aaron Leong Comedy Drama Family Fantasy Romance Science Fiction
Olivia Neergaard-Holm,Documentary,David Lynch,Not Available,Not Available,david lynch: the art life,David Lynch Not Available Not Available Olivia Neergaard-Holm Documentary
Terry George,History Romance Drama,Oscar Isaac,Charlotte Le Bon,Christian Bale,the promise,Oscar Isaac Charlotte Le Bon Christian Bale Terry George History Romance Drama
Benny Boom,Drama Music,Demetrius Shipp Jr.,Danai Gurira,Kat Graham,all eyez on me,Demetrius Shipp Jr. Danai Gurira Kat Graham Benny Boom Drama Music
Nacho Vigalondo,Action Comedy Drama Fantasy Science Fiction,Anne Hathaway,Jason Sudeikis,Tim Blake Nelson,colossal,Anne Hathaway Jason Sudeikis Tim Blake Nelson Nacho Vigalondo Action Comedy Drama Fantasy Science Fiction
Terrence Malick,Documentary Drama,Cate Blanchett,Konstantin Khabenskiy,Not Available,voyage of time: life's journey,Cate Blanchett Konstantin Khabenskiy Not Available Terrence Malick Documentary Drama
Derrick Borte,Drama Music,Jonathan Rhys Meyers,Daniel Huttlestone,Dougray Scott,london town,Jonathan Rhys Meyers Daniel Huttlestone Dougray Scott Derrick Borte Drama Music
Martin Koolhoven,Mystery Thriller Western,Guy Pearce,Dakota Fanning,Carice van Houten,brimstone,Guy Pearce Dakota Fanning Carice van Houten Martin Koolhoven Mystery Thriller Western
Alex Helfrecht,Drama Science Fiction,Agyness Deyn,Jonathan Pryce,Fiona Shaw,the white king,Agyness Deyn Jonathan Pryce Fiona Shaw Alex Helfrecht Drama Science Fiction
Laura Poitras,Documentary,Julian Assange,Sarah Harrison,Jacob Appelbaum,risk,Julian Assange Sarah Harrison Jacob Appelbaum Laura Poitras Documentary
Sara Jordenö,Documentary,Not Available,Not Available,Not Available,kiki,Not Available Not Available Not Available Sara Jordenö Documentary
Eddie O'Keefe,Romance Drama Crime,Emily Browning,Luke Grimes,Ron Livingston,shangri-la suite,Emily Browning Luke Grimes Ron Livingston Eddie O'Keefe Romance Drama Crime
Ralitza Petrova,Drama,Irena Ivanova,Ivan Nalbantov,Ventzislav Konstantinov,godless,Irena Ivanova Ivan Nalbantov Ventzislav Konstantinov Ralitza Petrova Drama
Peter Chelsom,Romance Adventure Science Fiction Drama,Asa Butterfield,Britt Robertson,Carla Gugino,the space between us,Asa Butterfield Britt Robertson Carla Gugino Peter Chelsom Romance Adventure Science Fiction Drama
Sonia Kennebeck,Documentary,Jesselyn Radack,Not Available,Not Available,national bird,Jesselyn Radack Not Available Not Available Sonia Kennebeck Documentary
Raoul Peck,Documentary,Samuel L. Jackson,James Baldwin,Malcolm X,i am not your negro,Samuel L. Jackson James Baldwin Malcolm X Raoul Peck Documentary
Ceyda Torun,Documentary,Bülent Üstün,Not Available,Not Available,kedi,Bülent Üstün Not Available Not Available Ceyda Torun Documentary
Lasse Hallström,Comedy Drama Family Fantasy,Dennis Quaid,Britt Robertson,Josh Gad,a dog's purpose,Dennis Quaid Britt Robertson Josh Gad Lasse Hallström Comedy Drama Family Fantasy
Julian Rosefeldt,Drama,Cate Blanchett,Erika Bauer,Ruby Bustamante,manifesto,Cate Blanchett Erika Bauer Ruby Bustamante Julian Rosefeldt Drama
Jeff Baena,Comedy,Alison Brie,Dave Franco,Aubrey Plaza,the little hours,Alison Brie Dave Franco Aubrey Plaza Jeff Baena Comedy
Richie Keen,Comedy,Charlie Day,Ice Cube,Tracy Morgan,fist fight,Charlie Day Ice Cube Tracy Morgan Richie Keen Comedy
Baran bo Odar,Action Crime Thriller,Jamie Foxx,Michelle Monaghan,Dermot Mulroney,sleepless,Jamie Foxx Michelle Monaghan Dermot Mulroney Baran bo Odar Action Crime Thriller
Gore Verbinski,Mystery Thriller Horror Science Fiction,Dane DeHaan,Jason Isaacs,Mia Goth,a cure for wellness,Dane DeHaan Jason Isaacs Mia Goth Gore Verbinski Mystery Thriller Horror Science Fiction
Charlotte Sieling,Drama Comedy,Jakob Oftebro,Ane Dahl Torp,Søren Malling,the man,Jakob Oftebro Ane Dahl Torp Søren Malling Charlotte Sieling Drama Comedy
D.J. Caruso,Action Adventure Crime,Vin Diesel,Ice Cube,Samuel L. Jackson,xxx: return of xander cage,Vin Diesel Ice Cube Samuel L. Jackson D.J. Caruso Action Adventure Crime
Stacy Title,Horror Thriller,Douglas Smith,Lucien Laviscount,Cressida Bonas,the bye bye man,Douglas Smith Lucien Laviscount Cressida Bonas Stacy Title Horror Thriller
Alice Lowe,Horror Comedy Drama Thriller Fantasy,Alice Lowe,Jo Hartley,Kate Dickie,prevenge,Alice Lowe Jo Hartley Kate Dickie Alice Lowe Horror Comedy Drama Thriller Fantasy
Chris McKay,Action Animation Comedy Family Fantasy,Will Arnett,Zach Galifianakis,Michael Cera,the lego batman movie,Will Arnett Zach Galifianakis Michael Cera Chris McKay Action Animation Comedy Family Fantasy
Stephan Streker,Drama,Lina El Arabi,Sébastien Houbani,Babak Karimi,a wedding,Lina El Arabi Sébastien Houbani Babak Karimi Stephan Streker Drama
Stanley Tong,Mystery Action Adventure Comedy,Jackie Chan,Disha Patani,Sonu Sood,kung fu yoga,Jackie Chan Disha Patani Sonu Sood Stanley Tong Mystery Action Adventure Comedy
Vishal Bhardwaj,War History Drama Romance,Saif Ali Khan,Shahid Kapoor,Kangana Ranaut,rangoon,Saif Ali Khan Shahid Kapoor Kangana Ranaut Vishal Bhardwaj War History Drama Romance
G.J. Echternkamp,Action Comedy Science Fiction,Manu Bennett,Malcolm McDowell,Marci Miller,death race 2050,Manu Bennett Malcolm McDowell Marci Miller G.J. Echternkamp Action Comedy Science Fiction
Adam Smith,Action Drama Crime Thriller,Michael Fassbender,Brendan Gleeson,Lyndsey Marshal,trespass against us,Michael Fassbender Brendan Gleeson Lyndsey Marshal Adam Smith Action Drama Crime Thriller
Lisa Robinson,Drama,Betsy Brandt,Chris Beetem,Zev Haworth,claire in motion,Betsy Brandt Chris Beetem Zev Haworth Lisa Robinson Drama
Emily Hagins,Family Crime,Alex Saxon,Alexis G. Zall,Sasha Pieterse,coin heist,Alex Saxon Alexis G. Zall Sasha Pieterse Emily Hagins Family Crime
F. Javier Gutiérrez,Horror,Matilda Anna Ingrid Lutz,Alex Roe,Johnny Galecki,rings,Matilda Anna Ingrid Lutz Alex Roe Johnny Galecki F. Javier Gutiérrez Horror
Alistair Legrand,Thriller,Vinessa Shaw,Kevin Rahm,Aaron Stanford,clinical,Vinessa Shaw Kevin Rahm Aaron Stanford Alistair Legrand Thriller
Jeannie Gaffigan,Comedy,Jim Gaffigan,Not Available,Not Available,jim gaffigan: cinco,Jim Gaffigan Not Available Not Available Jeannie Gaffigan Comedy
Bruno Garotti,Comedy,Michel Joelsas,Alessandra Negrini,Marcello Airoldi,eu fico loko,Michel Joelsas Alessandra Negrini Marcello Airoldi Bruno Garotti Comedy
Aram Rappaport,Crime Thriller,Frank Grillo,Minnie Driver,AnnaSophia Robb,the crash,Frank Grillo Minnie Driver AnnaSophia Robb Aram Rappaport Crime Thriller
Tatsuya Oishi,Animation Fantasy Mystery,Hiroshi Kamiya,Yui Horie,Maaya Sakamoto,kizumonogatari part 3: reiketsu,Hiroshi Kamiya Yui Horie Maaya Sakamoto Tatsuya Oishi Animation Fantasy Mystery
Chad Stahelski,Thriller Action Crime,Keanu Reeves,Common,Laurence Fishburne,john wick: chapter 2,Keanu Reeves Common Laurence Fishburne Chad Stahelski Thriller Action Crime
Jordan Peele,Mystery Thriller Horror,Daniel Kaluuya,Allison Williams,Bradley Whitford,get out,Daniel Kaluuya Allison Williams Bradley Whitford Jordan Peele Mystery Thriller Horror
James Mangold,Action Drama Science Fiction,Hugh Jackman,Patrick Stewart,Dafne Keen,logan,Hugh Jackman Patrick Stewart Dafne Keen James Mangold Action Drama Science Fiction
Jordan Vogt-Roberts,Action Adventure Fantasy,Tom Hiddleston,Samuel L. Jackson,Brie Larson,kong: skull island,Tom Hiddleston Samuel L. Jackson Brie Larson Jordan Vogt-Roberts Action Adventure Fantasy
Pete Travis,Crime Drama Thriller,Riz Ahmed,Billie Piper,James Floyd,city of tiny lights,Riz Ahmed Billie Piper James Floyd Pete Travis Crime Drama Thriller
